variant_scope,result_code,outcome,variants_only,description,notes
all,win,win,false,"Winner-side code for any decisive result","Opposing side will have a corresponding loss code"
all,lose,lose,false,"Generic loser-side code used in some contexts","Sometimes used instead of a specific reason on the losing side"
all,checkmated,lose,false,"Player was checkmated","Opponent will show win"
all,timeout,lose,false,"Player lost on time","Draw if opponent has insufficient material is handled by timevsinsufficient on the other side"
all,resigned,lose,false,"Player resigned","Opponent will show win"
all,abandoned,lose,false,"Player abandoned the game","Typically due to disconnect or leaving"
all,agreed,draw,false,"Players agreed to a draw","Draw on both sides"
all,repetition,draw,false,"Threefold repetition draw","Draw on both sides"
all,stalemate,draw,false,"Stalemate draw","Draw on both sides"
all,insufficient,draw,false,"Insufficient mating material draw","Draw on both sides"
all,50move,draw,false,"Fifty-move rule draw","Draw on both sides"
all,timevsinsufficient,draw,false,"Draw: one side timed out while the other had insufficient mating material","Applied to the side that did not time out"
bughouse,bughousepartnerlose,lose,true,"Loss because your partner lost on the linked board","Loser-side only; winner shows 'win'. Indicates other board caused end (not this board)"
kingofthehill,kingofthehill,lose,true,"Loss because opponent's king reached the central hill","Variant-specific: King of the Hill only"
threecheck,threecheck,lose,true,"Loss because opponent delivered the third check","Variant-specific: Three-check only"
chess960,win,win,false,"Same semantics as standard chess","Not variant-only; listed for clarity"
chess960,checkmated,lose,false,"Same semantics as standard chess","Not variant-only; listed for clarity"
crazyhouse,win,win,false,"Same semantics as standard chess","No unique result codes known"
crazyhouse,checkmated,lose,false,"Same semantics as standard chess","No unique result codes known"
kingofthehill,win,win,false,"Winner when achieving the hill condition","Losing side shows kingofthehill"
threecheck,win,win,false,"Winner when delivering the third check","Losing side shows threecheck"
bughouse,win,win,false,"Winner (could be from this board or partner board)","Do not infer partner loss from a win. Check loser: bughousepartnerlose ⇒ other board; resigned/checkmated ⇒ this board"
bughouse,checkmated,lose,false,"Loss on this board by checkmate","Not partner-loss; loser shows 'checkmated', winner shows 'win'"
bughouse,resigned,lose,false,"Loss on this board by resignation","Not partner-loss; loser shows 'resigned', winner shows 'win'"
